datetime,value
2024-07-05 01:15:00,0.476
2024-07-05 01:16:00,0.476
2024-07-05 01:17:00,0.476
2024-07-05 01:18:00,0.476
2024-07-05 01:19:00,0.476
2024-07-05 01:20:00,0.476
2024-07-05 01:21:00,0.476
2024-07-05 01:22:00,0.0
2024-07-05 09:28:00,0.0
2024-07-05 09:29:00,3.333
2024-07-05 09:30:00,13.333
2024-07-05 09:31:00,13.333
2024-07-05 09:32:00,6.667
2024-07-05 09:33:00,3.333
2024-07-05 09:34:00,3.333
2024-07-05 09:35:00,1.667
2024-07-05 09:36:00,1.667
2024-07-05 09:37:00,1.111
2024-07-05 09:38:00,1.111
2024-07-05 09:39:00,1.111
2024-07-05 09:40:00,1.667
2024-07-05 09:41:00,1.667
2024-07-05 09:42:00,0.0
2024-07-05 12:35:00,0.0
2024-07-05 12:36:00,3.333
2024-07-05 12:37:00,13.333
2024-07-05 12:38:00,13.333
2024-07-05 12:39:00,3.333
2024-07-05 12:40:00,0.0
2024-07-06 02:25:00,0.0
2024-07-06 02:26:00,3.333
2024-07-06 02:27:00,0.057
2024-07-06 02:28:00,0.057
2024-07-06 02:29:00,0.057
2024-07-06 02:30:00,0.057
2024-07-06 02:31:00,0.057
2024-07-06 02:32:00,0.057
2024-07-06 02:33:00,0.057
2024-07-06 02:34:00,0.057
2024-07-06 02:35:00,0.057
2024-07-06 02:36:00,0.057
2024-07-06 02:37:00,0.057
2024-07-06 02:38:00,0.057
2024-07-06 02:39:00,0.057
2024-07-06 02:40:00,0.057
2024-07-06 02:41:00,0.057
2024-07-06 02:42:00,0.057
2024-07-06 02:43:00,0.057
2024-07-06 02:44:00,0.057
2024-07-06 02:45:00,0.057
2024-07-06 02:46:00,0.057
2024-07-06 02:47:00,0.057
2024-07-06 02:48:00,0.057
2024-07-06 02:49:00,0.057
2024-07-06 02:50:00,0.057
2024-07-06 02:51:00,0.057
2024-07-06 02:52:00,0.057
2024-07-06 02:53:00,0.057
2024-07-06 02:54:00,0.057
2024-07-06 02:55:00,0.057
2024-07-06 02:56:00,0.057
2024-07-06 02:57:00,0.057
2024-07-06 02:58:00,0.057
2024-07-06 02:59:00,0.057
2024-07-06 03:00:00,0.057
2024-07-06 03:01:00,0.057
2024-07-06 03:02:00,0.057
2024-07-06 03:03:00,0.057
2024-07-06 03:04:00,0.057
2024-07-06 03:05:00,0.057
2024-07-06 03:06:00,0.057
2024-07-06 03:07:00,0.057
2024-07-06 03:08:00,0.057
2024-07-06 03:09:00,0.057
2024-07-06 03:10:00,0.057
2024-07-06 03:11:00,0.057
2024-07-06 03:12:00,0.057
2024-07-06 03:13:00,0.057
2024-07-06 03:14:00,0.057
2024-07-06 03:15:00,0.057
2024-07-06 03:16:00,0.057
2024-07-06 03:17:00,0.057
2024-07-06 03:18:00,0.057
2024-07-06 03:19:00,0.057
2024-07-06 03:20:00,0.057
2024-07-06 03:21:00,0.057
2024-07-06 03:22:00,0.057
2024-07-06 03:23:00,0.057
2024-07-06 03:24:00,0.057
2024-07-06 03:25:00,0.0
2024-07-06 19:25:00,0.0
2024-07-06 19:26:00,20.0
2024-07-06 19:27:00,23.333
2024-07-06 19:28:00,13.333
